Community Code,Community,County Code,County Description,Year,Sample Date,Beach Name,Beach Type Description,Organism,Indicator Level,Violation
242,Provincetown,001,Barnstable,2024,2024-06-17 00:00:00,593 Commercial Street,Marine,Enterococci,5,No
242,Provincetown,001,Barnstable,2024,2024-07-01 00:00:00,593 Commercial Street,Marine,Enterococci,10,No
242,Provincetown,001,Barnstable,2024,2024-07-10 00:00:00,593 Commercial Street,Marine,Enterococci,124,Yes
242,Provincetown,001,Barnstable,2024,2024-07-29 00:00:00,593 Commercial Street,Marine,Enterococci,5,No
242,Provincetown,001,Barnstable,2024,2024-07-11 00:00:00,593 Commercial Street,Marine,Enterococci,5,No
242,Provincetown,001,Barnstable,2024,2024-07-15 00:00:00,593 Commercial Street,Marine,Enterococci,10,No
242,Provincetown,001,Barnstable,2024,2024-08-19 00:00:00,593 Commercial Street,Marine,Enterococci,1298,Yes
242,Provincetown,001,Barnstable,2024,2024-06-03 00:00:00,593 Commercial Street,Marine,Enterococci,5,No
242,Provincetown,001,Barnstable,2024,2024-06-24 00:00:00,593 Commercial Street,Marine,Enterococci,53,No
242,Provincetown,001,Barnstable,2024,2024-07-22 00:00:00,593 Commercial Street,Marine,Enterococci,10,No
242,Provincetown,001,Barnstable,2024,2024-08-26 00:00:00,593 Commercial Street,Marine,Enterococci,20,No
242,Provincetown,001,Barnstable,2024,2024-06-24 00:00:00,637 Commercial Street,Marine,Enterococci,87,No
242,Provincetown,001,Barnstable,2024,2024-08-26 00:00:00,637 Commercial Street,Marine,Enterococci,5,No
242,Provincetown,001,Barnstable,2024,2024-06-10 00:00:00,637 Commercial Street,Marine,Enterococci,42,No
242,Provincetown,001,Barnstable,2024,2024-08-05 00:00:00,637 Commercial Street,Marine,Enterococci,5,No
242,Provincetown,001,Barnstable,2024,2024-06-03 00:00:00,637 Commercial Street,Marine,Enterococci,5,No
242,Provincetown,001,Barnstable,2024,2024-06-17 00:00:00,637 Commercial Street,Marine,Enterococci,87,No
242,Provincetown,001,Barnstable,2024,2024-08-12 00:00:00,637 Commercial Street,Marine,Enterococci,5,No
242,Provincetown,001,Barnstable,2024,2024-07-29 00:00:00,637 Commercial Street,Marine,Enterococci,10,No
242,Provincetown,001,Barnstable,2024,2024-07-01 00:00:00,637 Commercial Street,Marine,Enterococci,5,No
242,Provincetown,001,Barnstable,2024,2024-07-15 00:00:00,637 Commercial Street,Marine,Enterococci,20,No
242,Provincetown,001,Barnstable,2024,2024-07-22 00:00:00,637 Commercial Street,Marine,Enterococci,5,No
242,Provincetown,001,Barnstable,2024,2024-08-19 00:00:00,637 Commercial Street,Marine,Enterococci,53,No
242,Provincetown,001,Barnstable,2024,2024-07-10 00:00:00,637 Commercial Street,Marine,Enterococci,42,No
242,Provincetown,001,Barnstable,2024,2024-07-11 00:00:00,637 Commercial Street,Marine,Enterococci,10,No
224,Orleans,001,Barnstable,2024,2024-06-05 00:00:00,A Little Inn on Pleasant Bay,Marine,Enterococci,10,No
224,Orleans,001,Barnstable,2024,2024-07-12 00:00:00,A Little Inn on Pleasant Bay,Marine,Enterococci,10,No
224,Orleans,001,Barnstable,2024,2024-06-20 00:00:00,A Little Inn on Pleasant Bay,Marine,Enterococci,5,No
224,Orleans,001,Barnstable,2024,2024-06-12 00:00:00,A Little Inn on Pleasant Bay,Marine,Enterococci,5,No
224,Orleans,001,Barnstable,2024,2024-08-21 00:00:00,A Little Inn on Pleasant Bay,Marine,Enterococci,20,No
224,Orleans,001,Barnstable,2024,2024-08-28 00:00:00,A Little Inn on Pleasant Bay,Marine,Enterococci,5,No
224,Orleans,001,Barnstable,2024,2024-08-08 00:00:00,A Little Inn on Pleasant Bay,Marine,Enterococci,5,No
224,Orleans,001,Barnstable,2024,2024-07-24 00:00:00,A Little Inn on Pleasant Bay,Marine,Enterococci,31,No
224,Orleans,001,Barnstable,2024,2024-05-30 00:00:00,A Little Inn on Pleasant Bay,Marine,Enterococci,10,No
224,Orleans,001,Barnstable,2024,2024-06-27 00:00:00,A Little Inn on Pleasant Bay,Marine,Enterococci,5,No
224,Orleans,001,Barnstable,2024,2024-08-14 00:00:00,A Little Inn on Pleasant Bay,Marine,Enterococci,5,No
224,Orleans,001,Barnstable,2024,2024-07-01 00:00:00,A Little Inn on Pleasant Bay,Marine,Enterococci,5,No
224,Orleans,001,Barnstable,2024,2024-07-31 00:00:00,A Little Inn on Pleasant Bay,Marine,Enterococci,5,No
224,Orleans,001,Barnstable,2024,2024-07-17 00:00:00,A Little Inn on Pleasant Bay,Marine,Enterococci,10,No
224,Orleans,001,Barnstable,2024,2024-06-19 00:00:00,A Little Inn on Pleasant Bay,Marine,Enterococci,207,Yes
224,Orleans,001,Barnstable,2024,2024-07-11 00:00:00,A Little Inn on Pleasant Bay,Marine,Enterococci,1013,Yes
055,Chatham,001,Barnstable,2024,2024-06-11 00:00:00,Andrew Harding Lane Beach,Marine,Enterococci,5,No
055,Chatham,001,Barnstable,2024,2024-07-10 00:00:00,Andrew Harding Lane Beach,Marine,Enterococci,5,No
055,Chatham,001,Barnstable,2024,2024-08-06 00:00:00,Andrew Harding Lane Beach,Marine,Enterococci,5,No
055,Chatham,001,Barnstable,2024,2024-06-26 00:00:00,Andrew Harding Lane Beach,Marine,Enterococci,5,No
055,Chatham,001,Barnstable,2024,2024-08-27 00:00:00,Andrew Harding Lane Beach,Marine,Enterococci,5,No
055,Chatham,001,Barnstable,2024,2024-07-15 00:00:00,Andrew Harding Lane Beach,Marine,Enterococci,5,No
055,Chatham,001,Barnstable,2024,2024-06-17 00:00:00,Andrew Harding Lane Beach,Marine,Enterococci,5,No
055,Chatham,001,Barnstable,2024,2024-07-23 00:00:00,Andrew Harding Lane Beach,Marine,Enterococci,10,No
055,Chatham,001,Barnstable,2024,2024-08-13 00:00:00,Andrew Harding Lane Beach,Marine,Enterococci,5,No
055,Chatham,001,Barnstable,2024,2024-08-21 00:00:00,Andrew Harding Lane Beach,Marine,Enterococci,5,No
055,Chatham,001,Barnstable,2024,2024-06-04 00:00:00,Andrew Harding Lane Beach,Marine,Enterococci,5,No
055,Chatham,001,Barnstable,2024,2024-07-01 00:00:00,Andrew Harding Lane Beach,Marine,Enterococci,5,No
055,Chatham,001,Barnstable,2024,2024-07-30 00:00:00,Andrew Harding Lane Beach,Marine,Enterococci,5,No
242,Provincetown,001,Barnstable,2024,2024-08-20 00:00:00,Atkins Lane,Marine,Enterococci,20,No
242,Provincetown,001,Barnstable,2024,2024-08-19 00:00:00,Atkins Lane,Marine,Enterococci,254,Yes
242,Provincetown,001,Barnstable,2024,2024-07-22 00:00:00,Atkins Lane,Marine,Enterococci,10,No
242,Provincetown,001,Barnstable,2024,2024-06-10 00:00:00,Atkins Lane,Marine,Enterococci,5,No
242,Provincetown,001,Barnstable,2024,2024-08-05 00:00:00,Atkins Lane,Marine,Enterococci,5,No
242,Provincetown,001,Barnstable,2024,2024-07-10 00:00:00,Atkins Lane,Marine,Enterococci,42,No
242,Provincetown,001,Barnstable,2024,2024-07-01 00:00:00,Atkins Lane,Marine,Enterococci,31,No
242,Provincetown,001,Barnstable,2024,2024-06-17 00:00:00,Atkins Lane,Marine,Enterococci,31,No
242,Provincetown,001,Barnstable,2024,2024-07-29 00:00:00,Atkins Lane,Marine,Enterococci,5,No
242,Provincetown,001,Barnstable,2024,2024-07-15 00:00:00,Atkins Lane,Marine,Enterococci,5,No
242,Provincetown,001,Barnstable,2024,2024-08-12 00:00:00,Atkins Lane,Marine,Enterococci,5,No
242,Provincetown,001,Barnstable,2024,2024-06-24 00:00:00,Atkins Lane,Marine,Enterococci,192,Yes
242,Provincetown,001,Barnstable,2024,2024-06-03 00:00:00,Atkins Lane,Marine,Enterococci,5,No
242,Provincetown,001,Barnstable,2024,2024-08-26 00:00:00,Atkins Lane,Marine,Enterococci,20,No
242,Provincetown,001,Barnstable,2024,2024-06-25 00:00:00,Atkins Lane,Marine,Enterococci,5,No
126,Harwich,001,Barnstable,2024,2024-08-13 00:00:00,Atlantic Avenue (Harwich),Marine,Enterococci,5,No
126,Harwich,001,Barnstable,2024,2024-06-26 00:00:00,Atlantic Avenue (Harwich),Marine,Enterococci,5,No
126,Harwich,001,Barnstable,2024,2024-06-11 00:00:00,Atlantic Avenue (Harwich),Marine,Enterococci,10,No
126,Harwich,001,Barnstable,2024,2024-06-18 00:00:00,Atlantic Avenue (Harwich),Marine,Enterococci,10,No
126,Harwich,001,Barnstable,2024,2024-08-27 00:00:00,Atlantic Avenue (Harwich),Marine,Enterococci,5,No
126,Harwich,001,Barnstable,2024,2024-06-04 00:00:00,Atlantic Avenue (Harwich),Marine,Enterococci,5,No
126,Harwich,001,Barnstable,2024,2024-07-30 00:00:00,Atlantic Avenue (Harwich),Marine,Enterococci,5,No
126,Harwich,001,Barnstable,2024,2024-07-23 00:00:00,Atlantic Avenue (Harwich),Marine,Enterococci,42,No
126,Harwich,001,Barnstable,2024,2024-08-07 00:00:00,Atlantic Avenue (Harwich),Marine,Enterococci,5,No
126,Harwich,001,Barnstable,2024,2024-07-16 00:00:00,Atlantic Avenue (Harwich),Marine,Enterococci,5,No
126,Harwich,001,Barnstable,2024,2024-07-10 00:00:00,Atlantic Avenue (Harwich),Marine,Enterococci,31,No
126,Harwich,001,Barnstable,2024,2024-08-20 00:00:00,Atlantic Avenue (Harwich),Marine,Enterococci,5,No
126,Harwich,001,Barnstable,2024,2024-07-02 00:00:00,Atlantic Avenue (Harwich),Marine,Enterococci,5,No
242,Provincetown,001,Barnstable,2024,2024-06-17 00:00:00,Atlantic Avenue (Provincetown),Marine,Enterococci,10,No
242,Provincetown,001,Barnstable,2024,2024-07-01 00:00:00,Atlantic Avenue (Provincetown),Marine,Enterococci,5,No
242,Provincetown,001,Barnstable,2024,2024-07-10 00:00:00,Atlantic Avenue (Provincetown),Marine,Enterococci,10,No
242,Provincetown,001,Barnstable,2024,2024-08-26 00:00:00,Atlantic Avenue (Provincetown),Marine,Enterococci,10,No
242,Provincetown,001,Barnstable,2024,2024-06-03 00:00:00,Atlantic Avenue (Provincetown),Marine,Enterococci,5,No
242,Provincetown,001,Barnstable,2024,2024-06-10 00:00:00,Atlantic Avenue (Provincetown),Marine,Enterococci,5,No
242,Provincetown,001,Barnstable,2024,2024-07-15 00:00:00,Atlantic Avenue (Provincetown),Marine,Enterococci,20,No
242,Provincetown,001,Barnstable,2024,2024-08-12 00:00:00,Atlantic Avenue (Provincetown),Marine,Enterococci,5,No
242,Provincetown,001,Barnstable,2024,2024-08-19 00:00:00,Atlantic Avenue (Provincetown),Marine,Enterococci,31,No
242,Provincetown,001,Barnstable,2024,2024-06-24 00:00:00,Atlantic Avenue (Provincetown),Marine,Enterococci,87,No
242,Provincetown,001,Barnstable,2024,2024-07-29 00:00:00,Atlantic Avenue (Provincetown),Marine,Enterococci,5,No
242,Provincetown,001,Barnstable,2024,2024-07-22 00:00:00,Atlantic Avenue (Provincetown),Marine,Enterococci,5,No
242,Provincetown,001,Barnstable,2024,2024-08-05 00:00:00,Atlantic Avenue (Provincetown),Marine,Enterococci,10,No
172,Mashpee,001,Barnstable,2024,2024-06-19 00:00:00,Attaquin Park (Mashpee-Wakeby Pond),Fresh,E. Coli,4.1,No
172,Mashpee,001,Barnstable,2024,2024-06-12 00:00:00,Attaquin Park (Mashpee-Wakeby Pond),Fresh,E. Coli,4.1,No
172,Mashpee,001,Barnstable,2024,2024-07-02 00:00:00,Attaquin Park (Mashpee-Wakeby Pond),Fresh,E. Coli,7.4,No
172,Mashpee,001,Barnstable,2024,2024-07-17 00:00:00,Attaquin Park (Mashpee-Wakeby Pond),Fresh,E. Coli,4.1,No
172,Mashpee,001,Barnstable,2024,2024-08-28 00:00:00,Attaquin Park (Mashpee-Wakeby Pond),Fresh,E. Coli,7.5,No
172,Mashpee,001,Barnstable,2024,2024-07-31 00:00:00,Attaquin Park (Mashpee-Wakeby Pond),Fresh,E. Coli,3.1,No
172,Mashpee,001,Barnstable,2024,2024-08-14 00:00:00,Attaquin Park (Mashpee-Wakeby Pond),Fresh,E. Coli,18.5,No
172,Mashpee,001,Barnstable,2024,2024-08-21 00:00:00,Attaquin Park (Mashpee-Wakeby Pond),Fresh,E. Coli,2,No
172,Mashpee,001,Barnstable,2024,2024-06-05 00:00:00,Attaquin Park (Mashpee-Wakeby Pond),Fresh,E. Coli,0.5,No
172,Mashpee,001,Barnstable,2024,2024-06-26 00:00:00,Attaquin Park (Mashpee-Wakeby Pond),Fresh,E. Coli,4,No
172,Mashpee,001,Barnstable,2024,2024-07-10 00:00:00,Attaquin Park (Mashpee-Wakeby Pond),Fresh,E. Coli,14.5,No
172,Mashpee,001,Barnstable,2024,2024-07-24 00:00:00,Attaquin Park (Mashpee-Wakeby Pond),Fresh,E. Coli,0.5,No
172,Mashpee,001,Barnstable,2024,2024-08-07 00:00:00,Attaquin Park (Mashpee-Wakeby Pond),Fresh,E. Coli,1,No
300,Truro,001,Barnstable,2024,2024-07-01 00:00:00,Ballston,Marine,Enterococci,5,No
300,Truro,001,Barnstable,2024,2024-07-30 00:00:00,Ballston,Marine,Enterococci,5,No
300,Truro,001,Barnstable,2024,2024-06-04 00:00:00,Ballston,Marine,Enterococci,5,No
300,Truro,001,Barnstable,2024,2024-08-27 00:00:00,Ballston,Marine,Enterococci,5,No
126,Harwich,001,Barnstable,2024,2024-08-20 00:00:00,Bank Street,Marine,Enterococci,5,No
126,Harwich,001,Barnstable,2024,2024-07-02 00:00:00,Bank Street,Marine,Enterococci,5,No
126,Harwich,001,Barnstable,2024,2024-06-04 00:00:00,Bank Street,Marine,Enterococci,10,No
126,Harwich,001,Barnstable,2024,2024-08-07 00:00:00,Bank Street,Marine,Enterococci,5,No
126,Harwich,001,Barnstable,2024,2024-06-26 00:00:00,Bank Street,Marine,Enterococci,5,No
126,Harwich,001,Barnstable,2024,2024-08-13 00:00:00,Bank Street,Marine,Enterococci,5,No
126,Harwich,001,Barnstable,2024,2024-07-23 00:00:00,Bank Street,Marine,Enterococci,53,No
126,Harwich,001,Barnstable,2024,2024-05-20 00:00:00,Bank Street,Marine,Enterococci,5,No
126,Harwich,001,Barnstable,2024,2024-07-16 00:00:00,Bank Street,Marine,Enterococci,5,No
126,Harwich,001,Barnstable,2024,2024-06-11 00:00:00,Bank Street,Marine,Enterococci,5,No
126,Harwich,001,Barnstable,2024,2024-06-18 00:00:00,Bank Street,Marine,Enterococci,10,No
126,Harwich,001,Barnstable,2024,2024-07-10 00:00:00,Bank Street,Marine,Enterococci,31,No
126,Harwich,001,Barnstable,2024,2024-05-28 00:00:00,Bank Street,Marine,Enterococci,42,No
126,Harwich,001,Barnstable,2024,2024-07-30 00:00:00,Bank Street,Marine,Enterococci,5,No
126,Harwich,001,Barnstable,2024,2024-08-27 00:00:00,Bank Street,Marine,Enterococci,5,No
036,Bourne,001,Barnstable,2024,2024-07-02 00:00:00,Barlows Landing,Marine,Enterococci,5,No
036,Bourne,001,Barnstable,2024,2024-07-24 00:00:00,Barlows Landing,Marine,Enterococci,5,No
036,Bourne,001,Barnstable,2024,2024-07-17 00:00:00,Barlows Landing,Marine,Enterococci,10,No
036,Bourne,001,Barnstable,2024,2024-06-05 00:00:00,Barlows Landing,Marine,Enterococci,5,No
036,Bourne,001,Barnstable,2024,2024-07-31 00:00:00,Barlows Landing,Marine,Enterococci,10,No
036,Bourne,001,Barnstable,2024,2024-08-28 00:00:00,Barlows Landing,Marine,Enterococci,20,No
036,Bourne,001,Barnstable,2024,2024-06-19 00:00:00,Barlows Landing,Marine,Enterococci,10,No
036,Bourne,001,Barnstable,2024,2024-06-12 00:00:00,Barlows Landing,Marine,Enterococci,5,No
036,Bourne,001,Barnstable,2024,2024-08-21 00:00:00,Barlows Landing,Marine,Enterococci,10,No
036,Bourne,001,Barnstable,2024,2024-06-26 00:00:00,Barlows Landing,Marine,Enterococci,75,No
036,Bourne,001,Barnstable,2024,2024-08-14 00:00:00,Barlows Landing,Marine,Enterococci,5,No
036,Bourne,001,Barnstable,2024,2024-08-07 00:00:00,Barlows Landing,Marine,Enterococci,5,No
036,Bourne,001,Barnstable,2024,2024-07-10 00:00:00,Barlows Landing,Marine,Enterococci,10,No
020,Barnstable,001,Barnstable,2024,2024-08-12 00:00:00,Barnstable Yacht Club,Marine,Enterococci,10,No
020,Barnstable,001,Barnstable,2024,2024-06-24 00:00:00,Barnstable Yacht Club,Marine,Enterococci,31,No
020,Barnstable,001,Barnstable,2024,2024-07-08 00:00:00,Barnstable Yacht Club,Marine,Enterococci,5,No
020,Barnstable,001,Barnstable,2024,2024-07-15 00:00:00,Barnstable Yacht Club,Marine,Enterococci,10,No
020,Barnstable,001,Barnstable,2024,2024-07-01 00:00:00,Barnstable Yacht Club,Marine,Enterococci,53,No
020,Barnstable,001,Barnstable,2024,2024-07-22 00:00:00,Barnstable Yacht Club,Marine,Enterococci,5,No
020,Barnstable,001,Barnstable,2024,2024-07-29 00:00:00,Barnstable Yacht Club,Marine,Enterococci,5,No
020,Barnstable,001,Barnstable,2024,2024-08-20 00:00:00,Barnstable Yacht Club,Marine,Enterococci,20,No
020,Barnstable,001,Barnstable,2024,2024-08-19 00:00:00,Barnstable Yacht Club,Marine,Enterococci,178,Yes
020,Barnstable,001,Barnstable,2024,2024-06-17 00:00:00,Barnstable Yacht Club,Marine,Enterococci,5,No
020,Barnstable,001,Barnstable,2024,2024-08-26 00:00:00,Barnstable Yacht Club,Marine,Enterococci,5,No
020,Barnstable,001,Barnstable,2024,2024-08-05 00:00:00,Barnstable Yacht Club,Marine,Enterococci,10,No
351,Yarmouth,001,Barnstable,2024,2024-07-08 00:00:00,Bass River East,Marine,Enterococci,5,No
351,Yarmouth,001,Barnstable,2024,2024-07-15 00:00:00,Bass River East,Marine,Enterococci,10,No
351,Yarmouth,001,Barnstable,2024,2024-07-22 00:00:00,Bass River East,Marine,Enterococci,42,No
351,Yarmouth,001,Barnstable,2024,2024-05-29 00:00:00,Bass River East,Marine,Enterococci,5,No
351,Yarmouth,001,Barnstable,2024,2024-08-26 00:00:00,Bass River East,Marine,Enterococci,5,No
351,Yarmouth,001,Barnstable,2024,2024-06-17 00:00:00,Bass River East,Marine,Enterococci,20,No
351,Yarmouth,001,Barnstable,2024,2024-05-22 00:00:00,Bass River East,Marine,Enterococci,5,No
351,Yarmouth,001,Barnstable,2024,2024-08-07 00:00:00,Bass River East,Marine,Enterococci,5,No
351,Yarmouth,001,Barnstable,2024,2024-07-01 00:00:00,Bass River East,Marine,Enterococci,10,No
351,Yarmouth,001,Barnstable,2024,2024-06-25 00:00:00,Bass River East,Marine,Enterococci,31,No
351,Yarmouth,001,Barnstable,2024,2024-06-03 00:00:00,Bass River East,Marine,Enterococci,5,No
351,Yarmouth,001,Barnstable,2024,2024-06-10 00:00:00,Bass River East,Marine,Enterococci,5,No
351,Yarmouth,001,Barnstable,2024,2024-08-19 00:00:00,Bass River East,Marine,Enterococci,5,No
351,Yarmouth,001,Barnstable,2024,2024-08-12 00:00:00,Bass River East,Marine,Enterococci,5,No
351,Yarmouth,001,Barnstable,2024,2024-07-29 00:00:00,Bass River East,Marine,Enterococci,10,No
351,Yarmouth,001,Barnstable,2024,2024-06-03 00:00:00,Bass River West,Marine,Enterococci,5,No
351,Yarmouth,001,Barnstable,2024,2024-08-07 00:00:00,Bass River West,Marine,Enterococci,5,No
351,Yarmouth,001,Barnstable,2024,2024-05-22 00:00:00,Bass River West,Marine,Enterococci,5,No
351,Yarmouth,001,Barnstable,2024,2024-07-15 00:00:00,Bass River West,Marine,Enterococci,31,No
351,Yarmouth,001,Barnstable,2024,2024-06-17 00:00:00,Bass River West,Marine,Enterococci,10,No
351,Yarmouth,001,Barnstable,2024,2024-07-29 00:00:00,Bass River West,Marine,Enterococci,10,No
351,Yarmouth,001,Barnstable,2024,2024-08-12 00:00:00,Bass River West,Marine,Enterococci,5,No
351,Yarmouth,001,Barnstable,2024,2024-06-10 00:00:00,Bass River West,Marine,Enterococci,5,No
351,Yarmouth,001,Barnstable,2024,2024-07-01 00:00:00,Bass River West,Marine,Enterococci,10,No
351,Yarmouth,001,Barnstable,2024,2024-08-26 00:00:00,Bass River West,Marine,Enterococci,5,No
351,Yarmouth,001,Barnstable,2024,2024-08-19 00:00:00,Bass River West,Marine,Enterococci,5,No
351,Yarmouth,001,Barnstable,2024,2024-06-25 00:00:00,Bass River West,Marine,Enterococci,10,No
351,Yarmouth,001,Barnstable,2024,2024-05-29 00:00:00,Bass River West,Marine,Enterococci,5,No
351,Yarmouth,001,Barnstable,2024,2024-07-08 00:00:00,Bass River West,Marine,Enterococci,5,No
351,Yarmouth,001,Barnstable,2024,2024-07-22 00:00:00,Bass River West,Marine,Enterococci,31,No
351,Yarmouth,001,Barnstable,2024,2024-07-01 00:00:00,Baxter Avenue,Marine,Enterococci,5,No
351,Yarmouth,001,Barnstable,2024,2024-08-12 00:00:00,Baxter Avenue,Marine,Enterococci,20,No
351,Yarmouth,001,Barnstable,2024,2024-05-29 00:00:00,Baxter Avenue,Marine,Enterococci,20,No
351,Yarmouth,001,Barnstable,2024,2024-07-22 00:00:00,Baxter Avenue,Marine,Enterococci,99,No
351,Yarmouth,001,Barnstable,2024,2024-08-20 00:00:00,Baxter Avenue,Marine,Enterococci,10,No
351,Yarmouth,001,Barnstable,2024,2024-06-03 00:00:00,Baxter Avenue,Marine,Enterococci,5,No
351,Yarmouth,001,Barnstable,2024,2024-07-08 00:00:00,Baxter Avenue,Marine,Enterococci,20,No
351,Yarmouth,001,Barnstable,2024,2024-08-05 00:00:00,Baxter Avenue,Marine,Enterococci,20,No
351,Yarmouth,001,Barnstable,2024,2024-08-26 00:00:00,Baxter Avenue,Marine,Enterococci,5,No
351,Yarmouth,001,Barnstable,2024,2024-06-10 00:00:00,Baxter Avenue,Marine,Enterococci,5,No
351,Yarmouth,001,Barnstable,2024,2024-08-19 00:00:00,Baxter Avenue,Marine,Enterococci,64,No
351,Yarmouth,001,Barnstable,2024,2024-05-22 00:00:00,Baxter Avenue,Marine,Enterococci,5,No
351,Yarmouth,001,Barnstable,2024,2024-06-17 00:00:00,Baxter Avenue,Marine,Enterococci,5,No
351,Yarmouth,001,Barnstable,2024,2024-06-24 00:00:00,Baxter Avenue,Marine,Enterococci,64,No
351,Yarmouth,001,Barnstable,2024,2024-07-15 00:00:00,Baxter Avenue,Marine,Enterococci,10,No
351,Yarmouth,001,Barnstable,2024,2024-07-29 00:00:00,Baxter Avenue,Marine,Enterococci,42,No
351,Yarmouth,001,Barnstable,2024,2024-07-15 00:00:00,Bay Road,Marine,Enterococci,20,No
351,Yarmouth,001,Barnstable,2024,2024-06-03 00:00:00,Bay Road,Marine,Enterococci,20,No
351,Yarmouth,001,Barnstable,2024,2024-06-17 00:00:00,Bay Road,Marine,Enterococci,5,No
351,Yarmouth,001,Barnstable,2024,2024-08-19 00:00:00,Bay Road,Marine,Enterococci,20,No
351,Yarmouth,001,Barnstable,2024,2024-08-12 00:00:00,Bay Road,Marine,Enterococci,10,No
351,Yarmouth,001,Barnstable,2024,2024-06-25 00:00:00,Bay Road,Marine,Enterococci,20,No
351,Yarmouth,001,Barnstable,2024,2024-06-24 00:00:00,Bay Road,Marine,Enterococci,531,Yes
351,Yarmouth,001,Barnstable,2024,2024-07-29 00:00:00,Bay Road,Marine,Enterococci,20,No
351,Yarmouth,001,Barnstable,2024,2024-07-22 00:00:00,Bay Road,Marine,Enterococci,20,No
351,Yarmouth,001,Barnstable,2024,2024-07-08 00:00:00,Bay Road,Marine,Enterococci,20,No
351,Yarmouth,001,Barnstable,2024,2024-05-22 00:00:00,Bay Road,Marine,Enterococci,5,No
351,Yarmouth,001,Barnstable,2024,2024-08-05 00:00:00,Bay Road,Marine,Enterococci,20,No
351,Yarmouth,001,Barnstable,2024,2024-05-29 00:00:00,Bay Road,Marine,Enterococci,20,No
351,Yarmouth,001,Barnstable,2024,2024-08-26 00:00:00,Bay Road,Marine,Enterococci,10,No
351,Yarmouth,001,Barnstable,2024,2024-06-10 00:00:00,Bay Road,Marine,Enterococci,10,No
351,Yarmouth,001,Barnstable,2024,2024-07-01 00:00:00,Bay Road,Marine,Enterococci,10,No
